54,0.000323939323425293,5.282831187497389e-05
54245,0.00030627250671386717,2.744325233836857e-05
108435,0.00030078887939453123,1.9042227880420105e-05
162626,0.00029375553131103513,1.3126647978771227e-05
216817,0.00029757022857666013,1.0220595990758968e-05
271008,0.000297093391418457,2.1073410768451178e-05
325199,0.00031783580780029295,4.271479609945646e-05
379390,0.00032465457916259767,4.49757612868435e-05
433581,0.0002989768981933594,3.243176304052278e-05
487772,0.0003137826919555664,4.519091308349442e-05
